siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
lc-2019-0023539,,,masculino,,leve
lc-2019-0023555,,,masculino,entre 30 y 39,leve
lc-2019-0023599,,,femenino,,leve
lc-2019-0023727,,,masculino,entre 30 y 39,leve
lc-2019-0024103,,,masculino,entre 40 y 49,leve
lc-2019-0024454,,,masculino,entre 18 y 29,leve
lc-2019-0032150,,,masculino,entre 18 y 29,leve
lc-2019-0040263,,,femenino,,leve
lc-2019-0687058,,,masculino,entre 30 y 39,leve
lc-2019-0688515,,,masculino,entre 30 y 39,leve
lc-2019-0023692,,,femenino,entre 18 y 29,leve
lc-2019-0023692,,,masculino,entre 18 y 29,leve
lc-2019-0023777,,,masculino,entre 50 y 59,leve
lc-2019-0023860,,,masculino,entre 30 y 39,leve
lc-2019-0023860,,,masculino,entre 30 y 39,leve
lc-2019-0023868,,,masculino,entre 30 y 39,leve
lc-2019-0023906,,,femenino,entre 40 y 49,leve
lc-2019-0023906,,,masculino,entre 40 y 49,leve
lc-2019-0023906,,,femenino,,leve
lc-2019-0023906,,,masculino,entre 18 y 29,leve
lc-2019-0023906,,,masculino,entre 30 y 39,leve
lc-2019-0024132,,,masculino,,leve
lc-2019-0024257,,,femenino,60 y mayores,leve
lc-2019-0024265,,,femenino,entre 30 y 39,leve
lc-2019-0024269,,,masculino,entre 18 y 29,leve
lc-2019-0024408,,,masculino,entre 18 y 29,leve
lc-2019-0024465,,,masculino,entre 40 y 49,leve
lc-2019-0024488,,,masculino,entre 50 y 59,leve
lc-2019-0024600,,,femenino,entre 30 y 39,leve
lc-2019-0024719,,,masculino,entre 18 y 29,leve
lc-2019-0024752,,,masculino,entre 50 y 59,leve
lc-2019-0024755,,,masculino,entre 30 y 39,leve
lc-2019-0024755,,,femenino,entre 30 y 39,leve
lc-2019-0024778,,,femenino,entre 30 y 39,leve
lc-2019-0025473,,,masculino,60 y mayores,leve
lc-2019-0033162,,,femenino,entre 50 y 59,leve
lc-2019-0267484,,,masculino,entre 30 y 39,leve
lc-2019-0757409,,,masculino,60 y mayores,leve
lc-2019-0024930,,,masculino,60 y mayores,leve
lc-2019-0025033,,,femenino,entre 40 y 49,leve
lc-2019-0025067,,,masculino,entre 30 y 39,leve
lc-2019-0025088,,,masculino,entre 40 y 49,leve
lc-2019-0025109,,,masculino,entre 40 y 49,leve
lc-2019-0025109,,,femenino,entre 40 y 49,leve
lc-2019-0025134,,,femenino,entre 30 y 39,leve
lc-2019-0025154,,,femenino,entre 18 y 29,leve
lc-2019-0025411,,,femenino,entre 30 y 39,leve
lc-2019-0025411,,,masculino,entre 30 y 39,leve
lc-2019-0025411,,,masculino,,leve
lc-2019-0642028,,,masculino,entre 18 y 29,leve
lc-2019-0025428,,,femenino,entre 40 y 49,leve
lc-2019-0025428,,,femenino,entre 40 y 49,leve
lc-2019-0025548,,,masculino,entre 18 y 29,leve
lc-2019-0025548,,,masculino,entre 18 y 29,leve
lc-2019-0378357,,,masculino,entre 30 y 39,leve
lc-2019-0025730,,,masculino,60 y mayores,leve
lc-2019-0025730,,,masculino,60 y mayores,leve
lc-2019-0052617,,,masculino,entre 30 y 39,leve
lc-2019-0052617,,,femenino,entre 30 y 39,leve
lc-2019-0025021,,,masculino,60 y mayores,leve
lc-2019-0025831,,,masculino,entre 18 y 29,leve
lc-2019-0025831,,,femenino,entre 18 y 29,leve
lc-2019-0025841,,,femenino,entre 40 y 49,leve
lc-2019-0025841,,,femenino,entre 40 y 49,leve
lc-2019-0026116,,,masculino,,leve
lc-2019-0026619,,,masculino,entre 30 y 39,leve
lc-2019-0026635,,,femenino,entre 18 y 29,leve
lc-2019-0026635,,,masculino,entre 18 y 29,leve
lc-2019-0027065,,,masculino,entre 30 y 39,leve
lc-2019-0027083,,,masculino,entre 40 y 49,leve
lc-2019-0027156,,,masculino,entre 40 y 49,leve
lc-2019-0027204,,,femenino,,leve
lc-2019-0027208,,,masculino,,leve
lc-2019-0027290,,,masculino,entre 30 y 39,leve
lc-2019-0027336,,,masculino,60 y mayores,leve
lc-2019-0027551,,,,,leve
lc-2019-0027620,,,femenino,,leve
lc-2019-0027679,,,femenino,,leve
