siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
2018-0029,conductor,moto,masculino,entre 18 y 29,fatal
2018-0030,conductor,moto,masculino,entre 18 y 29,fatal
2018-0031,conductor,moto,masculino,entre 30 y 39,fatal
2018-0032,peaton,peaton,masculino,60 y mayores,fatal
2018-0033,conductor,moto,femenino,entre 40 y 49,fatal
2018-0034,peaton,peaton,masculino,entre 18 y 29,fatal
2018-0035,peaton,peaton,femenino,entre 40 y 49,fatal
2018-0036,conductor,moto,masculino,entre 30 y 39,fatal
2018-0037,peaton,peaton,masculino,60 y mayores,fatal
2018-0038,peaton,peaton,femenino,60 y mayores,fatal
2018-0038,peaton,peaton,masculino,60 y mayores,fatal
2018-0039,peaton,peaton,masculino,entre 30 y 39,fatal
2018-0040,peaton,peaton,femenino,,fatal
2018-0041,peaton,peaton,femenino,60 y mayores,fatal
2018-0042,pasajero_acompañante,moto,masculino,entre 18 y 29,fatal
2018-0043,conductor,moto,masculino,entre 18 y 29,fatal
2018-0044,peaton,peaton,femenino,entre 50 y 59,fatal
2018-0045,conductor,auto,masculino,60 y mayores,fatal
2018-0046,peaton,peaton,masculino,menos de 18,fatal
2018-0047,peaton,peaton,masculino,60 y mayores,fatal
2018-0048,peaton,peaton,masculino,entre 50 y 59,fatal
2018-0049,peaton,peaton,femenino,entre 40 y 49,fatal
2018-0050,peaton,peaton,femenino,entre 40 y 49,fatal
2018-0051,peaton,peaton,femenino,entre 50 y 59,fatal
2018-0052,peaton,peaton,masculino,60 y mayores,fatal
2018-0053,conductor,moto,masculino,entre 40 y 49,fatal
2018-0054,peaton,peaton,femenino,60 y mayores,fatal
2018-0055,conductor,moto,masculino,entre 18 y 29,fatal
2018-0056,peaton,peaton,femenino,60 y mayores,fatal
2018-0057,conductor,moto,masculino,entre 30 y 39,fatal
2018-0058,conductor,moto,masculino,entre 18 y 29,fatal
2018-0059,conductor,moto,masculino,entre 50 y 59,fatal
2018-0060,peaton,peaton,masculino,entre 50 y 59,fatal
2018-0061,conductor,moto,masculino,entre 50 y 59,fatal
2018-0062,peaton,peaton,masculino,entre 30 y 39,fatal
2018-0063,peaton,peaton,femenino,entre 18 y 29,fatal
2018-0064,conductor,auto,masculino,entre 30 y 39,fatal
2018-0065,conductor,moto,masculino,entre 30 y 39,fatal
2018-0066,peaton,peaton,masculino,60 y mayores,fatal
2018-0067,pasajero_acompañante,pasajeros,femenino,60 y mayores,fatal
2018-0068,conductor,moto,masculino,entre 18 y 29,fatal
2018-0069,conductor,bicicleta,masculino,entre 18 y 29,fatal
2018-0070,conductor,moto,masculino,entre 30 y 39,fatal
2018-0071,conductor,moto,masculino,,fatal
2018-0072,conductor,moto,masculino,entre 18 y 29,fatal
2018-0073,peaton,peaton,femenino,60 y mayores,fatal
2018-0074,conductor,auto,masculino,entre 18 y 29,fatal
2018-0075,peaton,peaton,masculino,entre 18 y 29,fatal
2018-0076,conductor,auto,masculino,60 y mayores,fatal
2018-0077,conductor,auto,masculino,entre 50 y 59,fatal
2018-0078,peaton,peaton,masculino,entre 18 y 29,fatal
2018-0079,peaton,peaton,masculino,,fatal
2018-0080,peaton,peaton,masculino,entre 18 y 29,fatal
2018-0081,peaton,peaton,masculino,entre 30 y 39,fatal
2018-0082,conductor,moto,femenino,menos de 18,fatal
2018-0083,conductor,moto,masculino,,fatal
2018-0084,peaton,peaton,masculino,entre 40 y 49,fatal
2018-0085,pasajero_acompañante,moto,femenino,entre 18 y 29,fatal
2018-0085,conductor,moto,masculino,entre 30 y 39,fatal
2018-0086,peaton,peaton,masculino,entre 40 y 49,fatal
2018-0087,peaton,peaton,masculino,60 y mayores,fatal
2018-0088,conductor,moto,masculino,,fatal
2018-0089,peaton,peaton,masculino,60 y mayores,fatal
2018-0090,conductor,moto,masculino,entre 18 y 29,fatal
2018-0091,pasajero_acompañante,auto,femenino,entre 18 y 29,fatal
2018-0092,conductor,moto,masculino,entre 18 y 29,fatal
2018-0093,peaton,peaton,masculino,entre 18 y 29,fatal
2018-0094,conductor,moto,masculino,entre 30 y 39,fatal
2018-0095,pasajero_acompañante,auto,femenino,entre 50 y 59,fatal
2018-0096,peaton,peaton,masculino,entre 40 y 49,fatal
2018-0097,conductor,auto,femenino,entre 30 y 39,fatal
2018-0098,conductor,auto,masculino,entre 50 y 59,fatal
2018-0098,pasajero_acompañante,auto,masculino,entre 50 y 59,fatal
2018-0099,peaton,peaton,masculino,entre 18 y 29,fatal
2018-0100,,moto,femenino,entre 30 y 39,fatal
2018-0101,conductor,auto,masculino,,fatal
2018-0102,conductor,moto,masculino,entre 18 y 29,fatal
2018-0103,peaton,peaton,masculino,menos de 18,fatal
2018-0104,conductor,moto,masculino,entre 18 y 29,fatal
2018-0105,peaton,peaton,femenino,entre 50 y 59,fatal
2018-0106,conductor,moto,masculino,entre 18 y 29,fatal
2018-0107,peaton,peaton,femenino,60 y mayores,fatal
2018-0108,conductor,moto,masculino,entre 30 y 39,fatal
2018-0109,peaton,peaton,masculino,entre 30 y 39,fatal
2018-0110,peaton,peaton,masculino,60 y mayores,fatal
2018-0111,conductor,moto,masculino,entre 18 y 29,fatal
2018-0112,conductor,moto,femenino,entre 18 y 29,fatal
2018-0113,conductor,moto,masculino,entre 18 y 29,fatal
2018-0114,conductor,moto,masculino,entre 18 y 29,fatal
2018-0115,peaton,peaton,masculino,entre 40 y 49,fatal
2018-0116,peaton,peaton,masculino,entre 40 y 49,fatal
2018-0117,conductor,moto,masculino,entre 30 y 39,fatal
2018-0118,peaton,peaton,femenino,60 y mayores,fatal
2018-0119,peaton,peaton,femenino,entre 30 y 39,fatal
